// cResource subclass information. [07-01-2021 00-57-23]
// Image Base: 0X140000000

Class [rMovieOnMemoryInterMediate], file extension: mem.mp4
Class [rMusicSkillData], file extension: msk
Class [rMusicSkillEfcData], file extension: mske
Class [rNGWordList], file extension: ngw
Class [rNavigationMesh], file extension: nav
Class [rNetEventQuestInfo], file extension: evdb
Class [rNetEventQuestInfoDairy], file extension: devq
Class [rNetEventQuestInfoSet], file extension: evst
Class [rNewLimitBreak], file extension: new_lb
Class [rNewLimitBreakRecipe], file extension: new_lbr
Class [rNpcBasicData], file extension: nbsc
Class [rNpcBelongingsList], file extension: nblg
Class [rNpcLookAtList], file extension: nlal
Class [rNpcMoveParam], file extension: nmvp
Class [rNpcTalkMotionPack], file extension: ntmp
Class [rNpcTalkMotionPackList], file extension: ntmpl
Class [rNpcTextVoice], file extension: ntv
Class [rNpcWaitMotionPack], file extension: nwmp
Class [rNpcWaitMotionPackList], file extension: nwmpl
Class [rNpcWeaponList], file extension: nwpn
Class [rObjAppendParam], file extension: oap
Class [rObjCollision], file extension: col
Class [rOtomoArmorData], file extension: oam_dat
Class [rOtomoAttackActTbl], file extension: ot_aka
Class [rOtomoDropItemLottery], file extension: odil
Class [rOtomoEmoteReaction], file extension: oemr
Class [rOtomoEnhanceActTbl], file extension: ot_eha
Class [rOtomoExpTable], file extension: oexp
Class [rOtomoFlatPreset], file extension: ot_fpr
Class [rOtomoHealActTbl], file extension: ot_hla
Class [rOtomoHoldActTbl], file extension: ot_hda
Class [rOtomoLevelTable], file extension: ot_lv
Class [rOtomoParam], file extension: oprm
Class [rOtomoPartsSetting], file extension: opst
Class [rOtomoShieldActTbl], file extension: ot_sda
Class [rOtomoStealActTbl], file extension: ot_sla
Class [rOtomoToolLevelTbl], file extension: ot_tlv
Class [rOtomoWeaponData], file extension: owp_dat
Class [rOtomomakePreset], file extension: omp
Class [rPanelTutorial], file extension: pan_tuto
Class [rPanelTutorialCategory], file extension: pan_tuto_cat
Class [rPhotoNpcTalk], file extension: phnt
Class [rPhotoSubjectTextData], file extension: phst
Class [rPhotoSubjects], file extension: phsb
Class [rPlTalkNpcCamParam], file extension: ptn
Class [rPlantFertilizer], file extension: plfe
Class [rPlantItem], file extension: plit
Class [rPlayerItemParam], file extension: plip
Class [rPlayerParam], file extension: plp
Class [rPlayerSkillParam], file extension: plsp
Class [rPopBaseData], file extension: ppm
Class [rPositionList], file extension: pl
Class [rPositionListXml], file extension: pl.xml
Class [rPugeeParam], file extension: pgpr
Class [rPushRate], file extension: push_rate
Class [rQuestData], file extension: mib
Class [rQuestMapIcon], file extension: qmi
Class [rQuestNoList], file extension: qnlt
Class [rQuestOpenList], file extension: qol
Class [rQuestRem], file extension: rem
Class [rQuestStoryTable], file extension: qst
Class [rRadarParam], file extension: rms
Class [rRailCamera], file extension: rlc
Class [rRailCameraXml], file extension: rlc.xml
Class [rRarePopCategoryParam], file extension: rpcm
Class [rRarePopParamTable], file extension: rppt
Class [rRecorder], file extension: rec
Class [rRenderTargetTexture], file extension: rtex
Class [rRigidbody], file extension: rb
Class [rRodInsectData], file extension: rod_inse
Class [rRoomAnimal], file extension: ranml
Class [rRoomFtOpen], file extension: rftop
Class [rRoomFtSetData], file extension: rfts
Class [rRoomFurniture], file extension: rfur
Class [rSAxeBottleData], file extension: wep_saxe
Class [rSceneTexture], file extension: stex
Class [rScheduler], file extension: sdl
Class [rScrNpcList], file extension: snl
Class [rSetObject], file extension: sobj
Class [rSetObjectList], file extension: sobjl
Class [rShader], file extension: sdf
Class [rShaderPipelineInfo], file extension: spi
Class [rShaderPipelineInfoXML], file extension: spi.xml
Class [rShadowCacheTexture], file extension: nshct
Class [rShakeCtrl], file extension: shake_ctrl
Class [rShellCommonParam], file extension: shlcp
Class [rShellParam], file extension: shlp
Class [rShellParamList], file extension: shll
Class [rShellTable], file extension: shl_tbl
Class [rShopEquipData], file extension: sed
Class [rShopList], file extension: slt
Class [rShopListSale], file extension: sls
Class [rSkillData], file extension: skl_dat
Class [rSkillGemParam], file extension: sgpa
Class [rSkillPointData], file extension: skl_pt_dat
Class [rSnowFieldData], file extension: sfld
Class [rSnowShovelerModel], file extension: shvl
Class [rSpecialTraceLotData], file extension: sptl
Class [rSpeedTree], file extension: rspd
Class [rSpeedTreeWind], file extension: wind
Class [rStaffRollData], file extension: srd
Class [rStaffRollDataSlugger], file extension: srds
Class [rStarCatalogue], file extension: stc
Class [rSteamCharacterParam], file extension: scp
Class [rSteamConvertList], file extension: scl
Class [rSteamModeParam], file extension: smp
Class [rSteamRewardList], file extension: srl
Class [rStoryNoSoundParam], file extension: snsp
Class [rStoryNpcFlagData], file extension: st_flg
Class [rStoryNpcGiftData], file extension: st_gft
Class [rStoryNpcQuestData], file extension: st_qst
Class [rStoryNpcTalk], file extension: tk_npc
